text,label
Congratulations! You have won a $1000 gift card. Click here to claim now. Ref:1,phishing
Your bank account has been suspended. Verify immediately. Ref:2,phishing
Urgent action required. Update your password now. Ref:3,phishing
You are selected as a lucky winner. Claim your reward. Ref:4,phishing
Click this link to avoid account closure. Ref:5,phishing
Your PayPal account needs verification. Ref:6,phishing
Confirm your credit card details to continue. Ref:7,phishing
You have received an unexpected refund. Login now. Ref:8,phishing
Security alert! Verify your account immediately. Ref:9,phishing
Claim your free vacation package today. Ref:10,phishing
Congratulations! You have won a $1000 gift card. Click here to claim now. Ref:11,phishing
Your bank account has been suspended. Verify immediately. Ref:12,phishing
Urgent action required. Update your password now. Ref:13,phishing
You are selected as a lucky winner. Claim your reward. Ref:14,phishing
Click this link to avoid account closure. Ref:15,phishing
Your PayPal account needs verification. Ref:16,phishing
Confirm your credit card details to continue. Ref:17,phishing
You have received an unexpected refund. Login now. Ref:18,phishing
Security alert! Verify your account immediately. Ref:19,phishing
Claim your free vacation package today. Ref:20,phishing
Congratulations! You have won a $1000 gift card. Click here to claim now. Ref:21,phishing
Your bank account has been suspended. Verify immediately. Ref:22,phishing
Urgent action required. Update your password now. Ref:23,phishing
You are selected as a lucky winner. Claim your reward. Ref:24,phishing
Click this link to avoid account closure. Ref:25,phishing
Your PayPal account needs verification. Ref:26,phishing
Confirm your credit card details to continue. Ref:27,phishing
You have received an unexpected refund. Login now. Ref:28,phishing
Security alert! Verify your account immediately. Ref:29,phishing
Claim your free vacation package today. Ref:30,phishing
Congratulations! You have won a $1000 gift card. Click here to claim now. Ref:31,phishing
Your bank account has been suspended. Verify immediately. Ref:32,phishing
Urgent action required. Update your password now. Ref:33,phishing
You are selected as a lucky winner. Claim your reward. Ref:34,phishing
Click this link to avoid account closure. Ref:35,phishing
Your PayPal account needs verification. Ref:36,phishing
Confirm your credit card details to continue. Ref:37,phishing
You have received an unexpected refund. Login now. Ref:38,phishing
Security alert! Verify your account immediately. Ref:39,phishing
Claim your free vacation package today. Ref:40,phishing
Congratulations! You have won a $1000 gift card. Click here to claim now. Ref:41,phishing
Your bank account has been suspended. Verify immediately. Ref:42,phishing
Urgent action required. Update your password now. Ref:43,phishing
You are selected as a lucky winner. Claim your reward. Ref:44,phishing
Click this link to avoid account closure. Ref:45,phishing
Your PayPal account needs verification. Ref:46,phishing
Confirm your credit card details to continue. Ref:47,phishing
You have received an unexpected refund. Login now. Ref:48,phishing
Security alert! Verify your account immediately. Ref:49,phishing
Claim your free vacation package today. Ref:50,phishing
Meeting scheduled for tomorrow at 10 AM. Ref:1,safe
Please find the project report attached. Ref:2,safe
Lunch with the team has been moved to 1 PM. Ref:3,safe
Your order has been shipped successfully. Ref:4,safe
Reminder: Submit your assignment before Friday. Ref:5,safe
Thank you for your purchase. Ref:6,safe
The monthly sales report is ready for review. Ref:7,safe
Your appointment is confirmed for next week. Ref:8,safe
Happy birthday! Wishing you a wonderful day. Ref:9,safe
The conference call starts at 3 PM today. Ref:10,safe
Meeting scheduled for tomorrow at 10 AM. Ref:11,safe
Please find the project report attached. Ref:12,safe
Lunch with the team has been moved to 1 PM. Ref:13,safe
Your order has been shipped successfully. Ref:14,safe
Reminder: Submit your assignment before Friday. Ref:15,safe
Thank you for your purchase. Ref:16,safe
The monthly sales report is ready for review. Ref:17,safe
Your appointment is confirmed for next week. Ref:18,safe
Happy birthday! Wishing you a wonderful day. Ref:19,safe
The conference call starts at 3 PM today. Ref:20,safe
Meeting scheduled for tomorrow at 10 AM. Ref:21,safe
Please find the project report attached. Ref:22,safe
Lunch with the team has been moved to 1 PM. Ref:23,safe
Your order has been shipped successfully. Ref:24,safe
Reminder: Submit your assignment before Friday. Ref:25,safe
Thank you for your purchase. Ref:26,safe
The monthly sales report is ready for review. Ref:27,safe
Your appointment is confirmed for next week. Ref:28,safe
Happy birthday! Wishing you a wonderful day. Ref:29,safe
The conference call starts at 3 PM today. Ref:30,safe
Meeting scheduled for tomorrow at 10 AM. Ref:31,safe
Please find the project report attached. Ref:32,safe
Lunch with the team has been moved to 1 PM. Ref:33,safe
Your order has been shipped successfully. Ref:34,safe
Reminder: Submit your assignment before Friday. Ref:35,safe
Thank you for your purchase. Ref:36,safe
The monthly sales report is ready for review. Ref:37,safe
Your appointment is confirmed for next week. Ref:38,safe
Happy birthday! Wishing you a wonderful day. Ref:39,safe
The conference call starts at 3 PM today. Ref:40,safe
Meeting scheduled for tomorrow at 10 AM. Ref:41,safe
Please find the project report attached. Ref:42,safe
Lunch with the team has been moved to 1 PM. Ref:43,safe
Your order has been shipped successfully. Ref:44,safe
Reminder: Submit your assignment before Friday. Ref:45,safe
Thank you for your purchase. Ref:46,safe
The monthly sales report is ready for review. Ref:47,safe
Your appointment is confirmed for next week. Ref:48,safe
Happy birthday! Wishing you a wonderful day. Ref:49,safe
The conference call starts at 3 PM today. Ref:50,safe
